Country Name,Country Code,year,exports,imports,government,carbon_intensity,investment,gdp,consumption
Comoros,COM,2011,3086342.091272697,11722231.953521073,2675085.525329247,-0.024183940211833593,8959600.42345348,34529872.82636356,36281424.38717723
Comoros,COM,2012,-1283918.2992691696,33033448.37302506,1187266.2633672655,8.908981334237731e-4,21483493.006226808,27497960.791752934,34898987.02227974
Comoros,COM,2013,8527785.883217618,7546564.929096907,-1546662.801383108,0.024393378230979673,4958708.411550209,39989745.104380846,28995445.04298687
Comoros,COM,2014,6182265.602501109,13596128.774534851,8803596.00090745,-0.026725295943634875,391075.96916021407,19704971.64021051,13003918.475019217
Comoros,COM,2015,4247644.921190381,2708080.1637096405,1236318.1668561697,0.01347951067823333,4084673.3139648587,10958021.040035963,6314820.673722386
Comoros,COM,2016,8488781.182311267,13524766.217008024,5013432.54611446,0.023005451818933598,3382882.951740235,32076496.673598886,29061220.237360597
Comoros,COM,2017,12548749.223665953,30275724.098380804,6374831.2424722165,0.04751006776028918,9238971.90055503,38085361.941088915,39059152.60333145
Comoros,COM,2018,22884632.269396707,37678309.16125709,0,0.01322656857157653,27394593.97779998,37742767.60729802,23381053.83200097
Comoros,COM,2019,9697893.026230693,19888823.47326368,3986252.5426864624,0.031928354186725516,-14357716.10300085,18909621.652845144,37510925.126303196
Comoros,COM,2020,-69595498.6437759,-34193784.077539444,4844128.440394759,0.01514875467629001,-22958910.23238504,-2137130.7562918663,40291221.06184888
Comoros,COM,2021,39475242.67706397,25713437.072817266,1781226.355274573,-7.087871102647858e-4,13168807.93848604,21815901.188203096,9737171.191002011
Comoros,COM,2022,27493210.780586377,4481435.166862488,2233307.8890340477,-0.027996983376510465,2119524.6217933595,28959078.581274986,2208805.035825491
Comoros,COM,2023,7380462.505742252,4392951.759543359,1000427.6934282631,-0.007657104346417198,2171220.264322996,34195076.96079469,24170324.7000916
Cuba,CUB,1991,-154834203.49821615,-3587959086.922323,-1794785250.6778297,-0.09348679735720156,-1713007453.471528,-5640314076.053375,-3337447825.3426704
Cuba,CUB,1992,-250588204.55972576,-2749762665.593995,-804495182.2641506,-0.06533997903283895,-2733737072.1800427,-5455495144.946892,-5221761401.5881195
Cuba,CUB,1993,-993280857.12145,-180384118.97738457,-155291181.08490562,0.04272447584501149,-1122719866.7977219,-6197269379.442604,-2721699641.9883804
Cuba,CUB,1994,272840102.1835308,602685421.6054349,-276381579.0566025,0.013220548337534277,-765175227.4539044,254195808.1280594,1207302889.61911
Cuba,CUB,1995,141421032.1606965,431236125.9497628,-85964804.29245377,0.02429133096590974,96204747.24783087,877474768.1006088,331286543.6668854
Cuba,CUB,1996,838291597.3026977,1014365938.5000448,562284824.1509438,0.0028562439154153907,778068695.6073749,2868026806.4095306,895447036.1136208
Cuba,CUB,1997,-208431960.8962469,-96788191.65102386,391838839.38679314,0.042596834501779535,164383270.06507587,1098223633.151497,549171129.7611389
Cuba,CUB,1998,232420293.9917221,70196790.91802979,18082120.33018875,-0.013918830717366992,129668790.6724515,64540185.73617554,456388792.76952744
Cuba,CUB,1999,547253839.0181246,125633100.92071152,767633142.0283031,-0.021892788533181218,181740509.76138878,2513785780.520767,1265569883.7959976
Cuba,CUB,2000,677750371.0575142,-11718244.390810966,480607637.54717064,-0.029338360495015037,320802732.25325346,2551177194.2348785,543999141.3815422
Cuba,CUB,2001,-197663864.7067213,-198196075.8022709,533339047.6415081,-0.04445820558162805,-104245641.68926239,1455035151.862114,1015276991.6074829
Cuba,CUB,2002,-201182153.5607252,-371040180.56672955,694702386.6509418,-0.034594642871123016,-318760601.95227766,671640772.7692261,587882679.1478348
Cuba,CUB,2003,294576730.4124441,571377089.4788599,1275616231.2735863,-0.035765752379431026,-215944482.1041212,1813318172.9941711,1746408076.1781769
